 	Area	Mean	Min	Max	XStart	YStart
1	2.177	255	255	255	438	35
2	1.060	255	255	255	438	77
3	1.248	255	255	255	201	111
4	1.713	255	255	255	253	130
5	6.140	255	255	255	352	173
6	0.653	255	255	255	378	177
7	3.600	255	255	255	289	190
8	2.569	255	255	255	443	206
9	0.900	255	255	255	434	243
10	2.787	255	255	255	416	267
11	0.827	255	255	255	330	337
12	1.510	255	255	255	318	8
13	1.960	255	255	255	256	17
14	0.363	255	255	255	403	27
15	7.418	255	255	255	471	29
16	2.352	255	255	255	427	40
17	2.932	255	255	255	487	58
18	4.427	255	255	255	120	95
19	15.416	255	255	255	362	128
20	1.626	255	255	255	215	154
21	0.755	255	255	255	312	180
22	2.264	255	255	255	492	189
23	1.103	255	255	255	165	197
24	0.929	255	255	255	411	322
25	3.397	255	255	255	474	356
26	1.394	255	255	255	84	19
27	1.016	255	255	255	269	42
28	1.306	255	255	255	405	57
29	1.205	255	255	255	226	64
30	1.539	255	255	255	420	80
31	4.950	255	255	255	448	138
32	1.916	255	255	255	254	297
33	8.013	255	255	255	85	30
34	1.669	255	255	255	255	38
35	1.074	255	255	255	342	45
36	13.471	255	255	255	474	50
37	5.008	255	255	255	397	132
38	1.931	255	255	255	302	264
39	3.629	255	255	255	482	357
40	2.134	255	255	255	469	388
41	2.206	255	255	255	25	18
42	3.397	255	255	255	222	64
43	2.685	255	255	255	97	75
44	0.827	255	255	255	150	84
45	0.987	255	255	255	174	124
46	0.232	255	255	255	370	151
47	4.340	255	255	255	326	286
48	2.279	255	255	255	367	306
49	0.813	255	255	255	309	72
50	1.306	255	255	255	133	75
51	1.510	255	255	255	35	98
52	1.292	255	255	255	406	117
53	1.452	255	255	255	286	205
54	0.232	255	255	255	285	273
55	0.726	255	255	255	449	284
56	0.261	255	255	255	351	418
57	1.423	255	255	255	224	464
58	2.685	255	255	255	264	53
59	4.761	255	255	255	343	97
60	1.147	255	255	255	455	154
61	1.306	255	255	255	115	282
62	2.932	255	255	255	287	386
63	5.269	255	255	255	340	27
64	1.539	255	255	255	337	69
65	3.106	255	255	255	19	71
66	0.929	255	255	255	256	90
67	0.944	255	255	255	70	120
68	1.539	255	255	255	426	151
69	1.219	255	255	255	330	254
70	0.334	255	255	255	384	287
71	0.944	255	255	255	394	318
72	0.842	255	255	255	422	353
73	4.674	255	255	255	291	10
74	4.964	255	255	255	414	105
75	3.063	255	255	255	187	120
76	4.311	255	255	255	427	169
77	1.771	255	255	255	309	205
78	3.048	255	255	255	165	307
79	1.016	255	255	255	436	378
80	16.272	255	255	255	431	407
81	2.802	255	255	255	114	26
82	3.614	255	255	255	470	27
83	1.350	255	255	255	295	125
84	3.455	255	255	255	373	125
85	6.547	255	255	255	457	131
86	7.563	255	255	255	256	145
87	3.237	255	255	255	76	163
88	20.206	255	255	255	128	186
89	1.727	255	255	255	264	261
90	2.468	255	255	255	178	362
91	1.234	255	255	255	107	12
92	3.353	255	255	255	434	13
93	1.060	255	255	255	372	15
94	5.197	255	255	255	484	84
95	10.234	255	255	255	229	102
96	1.858	255	255	255	73	146
97	4.123	255	255	255	231	168
98	4.500	255	255	255	485	205
99	2.468	255	255	255	366	215
100	1.597	255	255	255	47	226
101	3.542	255	255	255	270	284
102	1.045	255	255	255	358	11
103	11.090	255	255	255	55	34
104	8.100	255	255	255	188	48
105	0.915	255	255	255	46	75
106	4.050	255	255	255	338	128
107	5.966	255	255	255	17	211
108	0.319	255	255	255	238	221
109	2.076	255	255	255	288	239
110	4.761	255	255	255	318	258
111	1.147	255	255	255	267	260
112	1.234	255	255	255	495	298
113	1.321	255	255	255	239	309
114	0.261	255	255	255	485	12
115	0.944	255	255	255	191	13
116	1.698	255	255	255	448	18
117	13.137	255	255	255	246	68
118	0.958	255	255	255	394	199
119	1.423	255	255	255	419	210
120	0.276	255	255	255	351	295
121	1.902	255	255	255	250	307
122	1.118	255	255	255	25	315
123	1.452	255	255	255	365	377
124	1.568	255	255	255	32	385
125	1.640	255	255	255	356	4
126	0.261	255	255	255	219	38
127	3.498	255	255	255	105	100
128	2.163	255	255	255	273	123
129	0.958	255	255	255	204	145
130	0.232	255	255	255	235	198
131	26.172	255	255	255	400	2
132	0.261	255	255	255	327	22
133	4.137	255	255	255	423	51
134	1.248	255	255	255	223	63
135	2.134	255	255	255	273	64
136	6.227	255	255	255	446	112
137	8.608	255	255	255	428	136
138	1.350	255	255	255	301	168
139	3.266	255	255	255	341	199
140	4.573	255	255	255	461	268
141	5.255	255	255	255	196	275
142	1.553	255	255	255	276	348
143	1.408	255	255	255	230	26
144	0.987	255	255	255	372	28
145	2.119	255	255	255	240	59
146	2.453	255	255	255	476	60
147	1.771	255	255	255	361	129
148	2.439	255	255	255	211	155
149	2.584	255	255	255	254	170
150	1.002	255	255	255	446	218
151	1.713	255	255	255	381	261
152	1.147	255	255	255	181	271
153	0.682	255	255	255	245	312
154	1.205	255	255	255	366	332
155	1.858	255	255	255	379	6
156	7.098	255	255	255	355	85
157	0.232	255	255	255	316	117
158	3.208	255	255	255	271	230
159	2.511	255	255	255	319	246
160	3.121	255	255	255	105	273
161	4.166	255	255	255	11	284
162	1.698	255	255	255	323	372
163	7.998	255	255	255	344	387
164	0.813	255	255	255	418	86
165	1.132	255	255	255	352	88
166	2.831	255	255	255	275	107
167	0.973	255	255	255	411	127
168	18.580	255	255	255	286	157
169	2.642	255	255	255	327	188
170	2.831	255	255	255	314	259
171	2.395	255	255	255	230	260
172	0.377	255	255	255	320	283
173	0.276	255	255	255	324	293
174	2.192	255	255	255	436	347
175	24.532	255	255	255	89	2
176	2.932	255	255	255	490	9
177	0.769	255	255	255	495	52
178	1.669	255	255	255	103	160
179	9.406	255	255	255	193	193
180	2.381	255	255	255	335	198
181	6.010	255	255	255	415	202
182	0.261	255	255	255	109	229
183	8.361	255	255	255	341	333
184	6.750	255	255	255	281	353
185	2.352	255	255	255	369	432
186	8.376	255	255	255	313	2
187	1.321	255	255	255	56	60
188	2.352	255	255	255	59	80
189	3.310	255	255	255	203	81
190	4.877	255	255	255	105	159
191	1.190	255	255	255	147	201
